,0
558, 82  
559,33408
560, 18  
561,394
562,  
563,34
564,Uttarakhand
565,33330
566, 3381  
567,112001
568, 1622  
569,2102
570, 81  
571,35
572,Uttar Pradesh
573,288144
574, 14491  
575,752211
576, 23231  
577,10959
578, 222  
579,36
580,West Bengal
581,81375
582, 6638  
583,635802
584, 7584  
585,10884
586, 59  
587,Total#
588, 2682751
589, 129811  
590,14085110
591,  217113  
592,192311
593, 2767 
594,*(Including foreign Nationals)
595,**( more than 70% cases due to comorbidities )
596,#States wise distribution is subject to further verification and reconciliation
597,#Our figures are being reconciled with ICMR
598,1
599,Andaman and Nicobar Islands
600,138
601, 8  
602,5410
603, 52  
604,66
605, 1  
606,2
607,Andhra Pradesh
608,81471
609, 7240  
610,931839
611, 4421  
612,7616
613, 37  
614,3
615,Arunachal Pradesh
616,550
617, 97  
618,16940
619, 19  
620,56
621,  
622,4
623,Assam
624,15545
625, 1603  
626,218958
627, 619  
628,1186
629, 14  
630,5
631,Bihar
632,81961
633, 5541  
634,306753
635, 6741  
636,2087
637, 77  
638,6
639,Chandigarh
640,4902
641, 280  
642,32608
643, 428  
644,433
645, 3  
646,7
647,Chhattisgarh
648,122963
649, 516  
650,509622
651, 17029  
652,7111
653, 218  
654,8
655,Dadra and Nagar Haveli and Daman and Diu
656,1904
657, 119  
658,4471
659, 118  
660,4
661,  
662,9
663,Delhi
664,93080
665, 1051  
666,897804
667, 22695  
668,13898
669, 357  
670,10
671,Goa
672,12078
673, 1038  
674,62113
675, 485  
676,993
677, 17  
678,11
679,Gujarat
680,107594
681, 7466  
682,367972
683, 6479  
684,6171
685, 152  
686,12
687,Haryana
688,69384
689, 5327  
690,340247
691, 5104  
692,3703
693, 60  
694,13
695,Himachal Pradesh
696,13411
697, 1165  
698,71423
699, 884  
700,1304
701, 24  
702,14
703,Jammu and Kashmir
704,18064
705, 1071  
706,138184
707, 944  
708,2126
709, 15  
710,15
711,Jharkhand
712,45592
713, 2177  
714,148364
715, 2865  
716,1888
717, 110  
718,16
719,Karnataka
720,234502
721, 20172  
722,1055612
723, 9058  
724,14283
725, 208  
726,17
727,Kerala
728,198904
729, 19593  
730,1173202
731, 7067  
732,5080
733, 25  
734,18
735,Ladakh
736,1972
737, 62  
738,11129
739, 209  
740,136
741, 1  
742,19
743,Lakshadweep
744,1044
745, 124  
746,917
747, 33  
748,1
749,  
750,20
751,Madhya Pradesh
752,89363
753, 1723  
754,391299
755, 11091  
756,5041
757, 104  
758,21
759,Maharashtra
760,696298
761, 2666  
762,3468610
763, 63818  
764,63928
765, 676  
766,22
767,Manipur
768,705
769, 115  
770,29193
771, 13  
772,383
773, 2  
774,23
775,Meghalaya
776,1244
777, 6  
778,14384
779, 148  
780,158
781, 1  
782,24
783,Mizoram
784,712
785, 68  
786,4663
787, 36  
788,13
789, 1  
790,25
791,Nagaland
792,558
793, 101  
794,12350
795, 12  
796,95
797, 1  
798,26
799,Odisha
800,39893
801, 3175  
802,359467
803, 3464  
804,1981
805, 8  
806,27
807,Puducherry
808,6767
809, 437  
810,44767
811, 453  
812,737
813, 9  
814,28
815,Punjab
816,46565
817, 2622  
818,277189
819, 2949  
820,8356
821, 92  
822,29
823,Rajasthan
824,127616
825, 10322  
826,367485
827, 4959  
828,3527
829, 74  
830,30
831,Sikkim
832,798
833, 105  
834,6223
835, 16  
836,137
837,  
838,31
839,Tamil Nadu
840,100668
841, 5620  
842,952186
843, 9142  
844,13475
845, 80  
846,32
847,Telengana
848,62929
849, 4781  
850,330304
851, 3307  
852,1999
853, 38  
854,33
855,Tripura
856,727
857, 82  
858,33408
859, 18  
860,394
861,  
862,34
863,Uttarakhand
864,33330
865, 3381  
866,112001
867, 1622  
868,2102
869, 81  
870,35
871,Uttar Pradesh
872,288144
873, 14491  
874,752211
875, 23231  
876,10959
877, 222  
878,36
879,West Bengal
880,81375
881, 6638  
882,635802
883, 7584  
884,10884
885, 59  
886,Total#
887, 2682751
888, 129811  
889,14085110
890,  217113  
891,192311
892, 2767 
893,*(Including foreign Nationals)
894,**( more than 70% cases due to comorbidities )
895,#States wise distribution is subject to further verification and reconciliation
896,#Our figures are being reconciled with ICMR
897,1
898,Andaman and Nicobar Islands
899,138
900, 8  
901,5410
902, 52  
903,66
904, 1  
905,2
906,Andhra Pradesh
907,81471
908, 7240  
909,931839
910, 4421  
911,7616
912, 37  
913,3
914,Arunachal Pradesh
915,550
916, 97  
917,16940
918, 19  
919,56
920,  
921,4
922,Assam
923,15545
924, 1603  
925,218958
926, 619  
927,1186
928, 14  
929,5
930,Bihar
931,81961
932, 5541  
933,306753
934, 6741  
935,2087
936, 77  
937,6
938,Chandigarh
939,4902
940, 280  
941,32608
942, 428  
943,433
944, 3  
945,7
946,Chhattisgarh
947,122963
948, 516  
949,509622
950, 17029  
951,7111
952, 218  
953,8
954,Dadra and Nagar Haveli and Daman and Diu
955,1904
956, 119  
957,4471
958, 118  
959,4
960,  
961,9
962,Delhi
963,93080
964, 1051  
965,897804
966, 22695  
967,13898
968, 357  
969,10
970,Goa
971,12078
972, 1038  
973,62113
974, 485  
975,993
976, 17  
977,11
978,Gujarat
979,107594
980, 7466  
981,367972
982, 6479  
983,6171
984, 152  
985,12
986,Haryana
987,69384
988, 5327  
989,340247
990, 5104  
991,3703
992, 60  
993,13
994,Himachal Pradesh
995,13411
996, 1165  
997,71423
998, 884  
999,1304
1000, 24  
1001,14
1002,Jammu and Kashmir
1003,18064
1004, 1071  
1005,138184
1006, 944  
1007,2126
1008, 15  
1009,15
1010,Jharkhand
1011,45592
1012, 2177  
1013,148364
1014, 2865  
1015,1888
1016, 110  
1017,16
1018,Karnataka
1019,234502
1020, 20172  
1021,1055612
1022, 9058  
1023,14283
1024, 208  
1025,17
1026,Kerala
1027,198904
1028, 19593  
1029,1173202
1030, 7067  
1031,5080
1032, 25  
1033,18
1034,Ladakh
1035,1972
1036, 62  
1037,11129
1038, 209  
1039,136
1040, 1  
1041,19
1042,Lakshadweep
1043,1044
1044, 124  
1045,917
1046, 33  
1047,1
1048,  
1049,20
1050,Madhya Pradesh
1051,89363
1052, 1723  
1053,391299
1054, 11091  
1055,5041
1056, 104  
1057,21
1058,Maharashtra
1059,696298
1060, 2666  
1061,3468610
1062, 63818  
1063,63928
1064, 676  
1065,22
1066,Manipur
1067,705
1068, 115  
1069,29193
1070, 13  
1071,383
1072, 2  
1073,23
1074,Meghalaya
1075,1244
1076, 6  
1077,14384
1078, 148  
1079,158
1080, 1  
1081,24
1082,Mizoram
1083,712
1084, 68  
1085,4663
1086, 36  
1087,13
1088, 1  
1089,25
1090,Nagaland
1091,558
1092, 101  
1093,12350
1094, 12  
1095,95
1096, 1  
1097,26
1098,Odisha
1099,39893
1100, 3175  
1101,359467
1102, 3464  
1103,1981
1104, 8  
1105,27
1106,Puducherry
1107,6767
1108, 437  
1109,44767
1110, 453  
1111,737
1112, 9  
1113,28
1114,Punjab
1115,46565
1116, 2622  
1117,277189
1118, 2949  
1119,8356
1120, 92  
1121,29
1122,Rajasthan
1123,127616
1124, 10322  
1125,367485
1126, 4959  
1127,3527
1128, 74  
1129,30
1130,Sikkim
1131,798
1132, 105  
1133,6223
1134, 16  
1135,137
1136,  
1137,31
1138,Tamil Nadu
1139,100668
1140, 5620  
1141,952186
1142, 9142  
1143,13475
1144, 80  
1145,32
1146,Telengana
1147,62929
1148, 4781  
1149,330304
1150, 3307  
1151,1999
1152, 38  
1153,33
1154,Tripura
1155,727
1156, 82  
1157,33408
1158, 18  
1159,394
1160,  
1161,34
1162,Uttarakhand
1163,33330
1164, 3381  
1165,112001
1166, 1622  
1167,2102
1168, 81  
1169,35
1170,Uttar Pradesh
1171,288144
1172, 14491  
1173,752211
1174, 23231  
1175,10959
1176, 222  
1177,36
1178,West Bengal
1179,81375
1180, 6638  
1181,635802
1182, 7584  
1183,10884
1184, 59  
1185,Total#
1186, 2682751
1187, 129811  
1188,14085110
1189,  217113  
1190,192311
1191, 2767 
1192,*(Including foreign Nationals)
1193,**( more than 70% cases due to comorbidities )
1194,#States wise distribution is subject to further verification and reconciliation
1195,#Our figures are being reconciled with ICMR
1196,1
1197,Andaman and Nicobar Islands
1198,138
1199, 8  
1200,5410
1201, 52  
1202,66
1203, 1  
1204,2
1205,Andhra Pradesh
1206,81471
1207, 7240  
1208,931839
1209, 4421  
1210,7616
1211, 37  
1212,3
1213,Arunachal Pradesh
1214,550
1215, 97  
1216,16940
1217, 19  
1218,56
1219,  
1220,4
1221,Assam
1222,15545
1223, 1603  
1224,218958
1225, 619  
1226,1186
1227, 14  
1228,5
1229,Bihar
1230,81961
1231, 5541  
1232,306753
1233, 6741  
1234,2087
1235, 77  
1236,6
1237,Chandigarh
1238,4902
1239, 280  
1240,32608
1241, 428  
1242,433
1243, 3  
1244,7
1245,Chhattisgarh
1246,122963
1247, 516  
1248,509622
1249, 17029  
1250,7111
1251, 218  
1252,8
1253,Dadra and Nagar Haveli and Daman and Diu
1254,1904
1255, 119  
1256,4471
1257, 118  
1258,4
1259,  
1260,9
1261,Delhi
1262,93080
1263, 1051  
1264,897804
1265, 22695  
1266,13898
1267, 357  
1268,10
1269,Goa
1270,12078
1271, 1038  
1272,62113
1273, 485  
1274,993
1275, 17  
1276,11
1277,Gujarat
1278,107594
1279, 7466  
1280,367972
1281, 6479  
1282,6171
1283, 152  
1284,12
1285,Haryana
1286,69384
1287, 5327  
1288,340247
1289, 5104  
1290,3703
1291, 60  
1292,13
1293,Himachal Pradesh
1294,13411
1295, 1165  
1296,71423
1297, 884  
1298,1304
1299, 24  
1300,14
1301,Jammu and Kashmir
1302,18064
1303, 1071  
1304,138184
1305, 944  
1306,2126
1307, 15  
1308,15
1309,Jharkhand
1310,45592
1311, 2177  
1312,148364
1313, 2865  
1314,1888
1315, 110  
1316,16
1317,Karnataka
1318,234502
1319, 20172  
1320,1055612
1321, 9058  
1322,14283
1323, 208  
1324,17
1325,Kerala
1326,198904
1327, 19593  
1328,1173202
1329, 7067  
1330,5080
1331, 25  
1332,18
1333,Ladakh
1334,1972
1335, 62  
1336,11129
1337, 209  
1338,136
1339, 1  
1340,19
1341,Lakshadweep
1342,1044
1343, 124  
1344,917
1345, 33  
1346,1
1347,  
1348,20
1349,Madhya Pradesh
1350,89363
1351, 1723  
1352,391299
1353, 11091  
1354,5041
1355, 104  
1356,21
1357,Maharashtra
1358,696298
1359, 2666  
1360,3468610
1361, 63818  
1362,63928
1363, 676  
1364,22
1365,Manipur
1366,705
1367, 115  
1368,29193
1369, 13  
1370,383
1371, 2  
1372,23
1373,Meghalaya
1374,1244
1375, 6  
1376,14384
1377, 148  
1378,158
1379, 1  
1380,24
1381,Mizoram
1382,712
1383, 68  
1384,4663
1385, 36  
1386,13
1387, 1  
1388,25
1389,Nagaland
1390,558
1391, 101  
1392,12350
1393, 12  
1394,95
1395, 1  
1396,26
1397,Odisha
1398,39893
1399, 3175  
1400,359467
1401, 3464  
1402,1981
1403, 8  
1404,27
1405,Puducherry
1406,6767
1407, 437  
1408,44767
1409, 453  
1410,737
1411, 9  
1412,28
1413,Punjab
1414,46565
1415, 2622  
1416,277189
1417, 2949  
1418,8356
1419, 92  
1420,29
1421,Rajasthan
1422,127616
1423, 10322  
1424,367485
1425, 4959  
1426,3527
1427, 74  
1428,30
1429,Sikkim
1430,798
1431, 105  
1432,6223
1433, 16  
1434,137
1435,  
1436,31
1437,Tamil Nadu
1438,100668
1439, 5620  
1440,952186
1441, 9142  
1442,13475
1443, 80  
1444,32
1445,Telengana
1446,62929
1447, 4781  
1448,330304
1449, 3307  
1450,1999
1451, 38  
1452,33
1453,Tripura
1454,727
1455, 82  
1456,33408
1457, 18  
1458,394
1459,  
1460,34
1461,Uttarakhand
1462,33330
1463, 3381  
1464,112001
1465, 1622  
1466,2102
1467, 81  
1468,35
1469,Uttar Pradesh
1470,288144
1471, 14491  
1472,752211
1473, 23231  
1474,10959
1475, 222  
1476,36
1477,West Bengal
1478,81375
1479, 6638  
1480,635802
1481, 7584  
1482,10884
1483, 59  
1484,Total#
1485, 2682751
1486, 129811  
1487,14085110
1488,  217113  
1489,192311
1490, 2767 
1491,*(Including foreign Nationals)
1492,**( more than 70% cases due to comorbidities )
1493,#States wise distribution is subject to further verification and reconciliation
1494,#Our figures are being reconciled with ICMR
1495,1
1496,Andaman and Nicobar Islands
1497,138
1498, 8  
1499,5410
1500, 52  
1501,66
1502, 1  
1503,2
1504,Andhra Pradesh
1505,81471
1506, 7240  
1507,931839
1508, 4421  
1509,7616
1510, 37  
1511,3
1512,Arunachal Pradesh
1513,550
1514, 97  
1515,16940
1516, 19  
1517,56
1518,  
1519,4
1520,Assam
1521,15545
1522, 1603  
1523,218958
1524, 619  
1525,1186
1526, 14  
1527,5
1528,Bihar
1529,81961
1530, 5541  
1531,306753
1532, 6741  
1533,2087
1534, 77  
1535,6
1536,Chandigarh
1537,4902
1538, 280  
1539,32608
1540, 428  
1541,433
1542, 3  
1543,7
1544,Chhattisgarh
1545,122963
1546, 516  
1547,509622
1548, 17029  
1549,7111
1550, 218  
1551,8
1552,Dadra and Nagar Haveli and Daman and Diu
1553,1904
1554, 119  
1555,4471
1556, 118  
1557,4
1558,  
1559,9
1560,Delhi
1561,93080
1562, 1051  
1563,897804
1564, 22695  
1565,13898
1566, 357  
1567,10
1568,Goa
1569,12078
1570, 1038  
1571,62113
1572, 485  
1573,993
1574, 17  
1575,11
1576,Gujarat
1577,107594
1578, 7466  
1579,367972
1580, 6479  
1581,6171
1582, 152  
1583,12
1584,Haryana
1585,69384
1586, 5327  
1587,340247
1588, 5104  
1589,3703
1590, 60  
1591,13
1592,Himachal Pradesh
1593,13411
1594, 1165  
1595,71423
1596, 884  
1597,1304
1598, 24  
1599,14
1600,Jammu and Kashmir
1601,18064
1602, 1071  
1603,138184
1604, 944  
1605,2126
1606, 15  
1607,15
1608,Jharkhand
1609,45592
1610, 2177  
1611,148364
1612, 2865  
1613,1888
1614, 110  
1615,16
1616,Karnataka
1617,234502
1618, 20172  
1619,1055612
1620, 9058  
1621,14283
1622, 208  
1623,17
1624,Kerala
1625,198904
1626, 19593  
1627,1173202
1628, 7067  
1629,5080
1630, 25  
1631,18
1632,Ladakh
1633,1972
1634, 62  
1635,11129
1636, 209  
1637,136
1638, 1  
1639,19
1640,Lakshadweep
1641,1044
1642, 124  
1643,917
1644, 33  
1645,1
1646,  
1647,20
1648,Madhya Pradesh
1649,89363
1650, 1723  
1651,391299
1652, 11091  
1653,5041
1654, 104  
1655,21
1656,Maharashtra
1657,696298
1658, 2666  
1659,3468610
1660, 63818  
1661,63928
1662, 676  
1663,22
1664,Manipur
1665,705
1666, 115  
1667,29193
1668, 13  
1669,383
1670, 2  
1671,23
1672,Meghalaya
1673,1244
1674, 6  
1675,14384
1676, 148  
1677,158
1678, 1  
1679,24
1680,Mizoram
1681,712
1682, 68  
1683,4663
1684, 36  
1685,13
1686, 1  
1687,25
1688,Nagaland
1689,558
1690, 101  
1691,12350
1692, 12  
1693,95
1694, 1  
1695,26
1696,Odisha
1697,39893
1698, 3175  
1699,359467
1700, 3464  
1701,1981
1702, 8  
1703,27
1704,Puducherry
1705,6767
1706, 437  
1707,44767
1708, 453  
1709,737
1710, 9  
1711,28
1712,Punjab
1713,46565
1714, 2622  
1715,277189
1716, 2949  
1717,8356
1718, 92  
1719,29
1720,Rajasthan
1721,127616
1722, 10322  
1723,367485
1724, 4959  
1725,3527
1726, 74  
1727,30
1728,Sikkim
1729,798
1730, 105  
1731,6223
1732, 16  
1733,137
1734,  
1735,31
1736,Tamil Nadu
1737,100668
1738, 5620  
1739,952186
1740, 9142  
1741,13475
1742, 80  
1743,32
1744,Telengana
1745,62929
1746, 4781  
1747,330304
1748, 3307  
1749,1999
1750, 38  
1751,33
1752,Tripura
1753,727
1754, 82  
1755,33408
1756, 18  
1757,394
1758,  
1759,34
1760,Uttarakhand
1761,33330
1762, 3381  
1763,112001
1764, 1622  
1765,2102
1766, 81  
1767,35
1768,Uttar Pradesh
1769,288144
1770, 14491  
1771,752211
1772, 23231  
1773,10959
1774, 222  
1775,36
1776,West Bengal
1777,81375
1778, 6638  
1779,635802
1780, 7584  
1781,10884
1782, 59  
1783,Total#
1784, 2682751
1785, 129811  
1786,14085110
1787,  217113  
1788,192311
1789, 2767 
1790,*(Including foreign Nationals)
1791,**( more than 70% cases due to comorbidities )
1792,#States wise distribution is subject to further verification and reconciliation
1793,#Our figures are being reconciled with ICMR
1794,1
1795,Andaman and Nicobar Islands
1796,138
1797, 8  
1798,5410
1799, 52  
1800,66
1801, 1  
1802,2
1803,Andhra Pradesh
1804,81471
1805, 7240  
1806,931839
1807, 4421  
1808,7616
1809, 37  
1810,3
1811,Arunachal Pradesh
1812,550
1813, 97  
1814,16940
1815, 19  
1816,56
1817,  
1818,4
1819,Assam
1820,15545
1821, 1603  
1822,218958
1823, 619  
1824,1186
1825, 14  
1826,5
1827,Bihar
1828,81961
1829, 5541  
1830,306753
1831, 6741  
1832,2087
1833, 77  
1834,6
1835,Chandigarh
1836,4902
1837, 280  
1838,32608
1839, 428  
1840,433
1841, 3  
1842,7
1843,Chhattisgarh
1844,122963
1845, 516  
1846,509622
1847, 17029  
1848,7111
1849, 218  
1850,8
1851,Dadra and Nagar Haveli and Daman and Diu
1852,1904
1853, 119  
1854,4471
1855, 118  
1856,4
1857,  
1858,9
1859,Delhi
1860,93080
1861, 1051  
1862,897804
1863, 22695  
1864,13898
1865, 357  
1866,10
1867,Goa
1868,12078
1869, 1038  
1870,62113
1871, 485  
1872,993
1873, 17  
1874,11
1875,Gujarat
1876,107594
1877, 7466  
1878,367972
1879, 6479  
1880,6171
1881, 152  
1882,12
1883,Haryana
1884,69384
1885, 5327  
1886,340247
1887, 5104  
1888,3703
1889, 60  
1890,13
1891,Himachal Pradesh
1892,13411
1893, 1165  
1894,71423
1895, 884  
1896,1304
1897, 24  
1898,14
1899,Jammu and Kashmir
1900,18064
1901, 1071  
1902,138184
1903, 944  
1904,2126
1905, 15  
1906,15
1907,Jharkhand
1908,45592
1909, 2177  
1910,148364
1911, 2865  
1912,1888
1913, 110  
1914,16
1915,Karnataka
1916,234502
1917, 20172  
1918,1055612
1919, 9058  
1920,14283
1921, 208  
1922,17
1923,Kerala
1924,198904
1925, 19593  
1926,1173202
1927, 7067  
1928,5080
1929, 25  
1930,18
1931,Ladakh
1932,1972
1933, 62  
1934,11129
1935, 209  
1936,136
1937, 1  
1938,19
1939,Lakshadweep
1940,1044
1941, 124  
1942,917
1943, 33  
1944,1
1945,  
1946,20
1947,Madhya Pradesh
1948,89363
1949, 1723  
1950,391299
1951, 11091  
1952,5041
1953, 104  
1954,21
1955,Maharashtra
1956,696298
1957, 2666  
1958,3468610
1959, 63818  
1960,63928
1961, 676  
1962,22
1963,Manipur
1964,705
1965, 115  
1966,29193
1967, 13  
1968,383
1969, 2  
1970,23
1971,Meghalaya
1972,1244
1973, 6  
1974,14384
1975, 148  
1976,158
1977, 1  
1978,24
1979,Mizoram
1980,712
1981, 68  
1982,4663
1983, 36  
1984,13
1985, 1  
1986,25
1987,Nagaland
1988,558
1989, 101  
1990,12350
1991, 12  
1992,95
1993, 1  
1994,26
1995,Odisha
1996,39893
1997, 3175  
1998,359467
1999, 3464  
2000,1981
2001, 8  
2002,27
2003,Puducherry
2004,6767
2005, 437  
2006,44767
2007, 453  
2008,737
2009, 9  
2010,28
2011,Punjab
2012,46565
2013, 2622  
2014,277189
2015, 2949  
2016,8356
2017, 92  
2018,29
2019,Rajasthan
2020,127616
2021, 10322  
2022,367485
2023, 4959  
2024,3527
2025, 74  
2026,30
2027,Sikkim
2028,798
2029, 105  
2030,6223
2031, 16  
2032,137
2033,  
2034,31
2035,Tamil Nadu
2036,100668
2037, 5620  
2038,952186
2039, 9142  
2040,13475
2041, 80  
2042,32
2043,Telengana
2044,62929
2045, 4781  
2046,330304
2047, 3307  
2048,1999
2049, 38  
2050,33
2051,Tripura
2052,727
2053, 82  
2054,33408
2055, 18  
2056,394
2057,  
2058,34
2059,Uttarakhand
2060,33330
2061, 3381  
2062,112001
2063, 1622  
2064,2102
2065, 81  
2066,35
2067,Uttar Pradesh
2068,288144
2069, 14491  
2070,752211
2071, 23231  
2072,10959
2073, 222  
2074,36
2075,West Bengal
2076,81375
2077, 6638  
2078,635802
2079, 7584  
2080,10884
2081, 59  
2082,Total#
2083, 2682751
2084, 129811  
2085,14085110
2086,  217113  
2087,192311
2088, 2767 
2089,*(Including foreign Nationals)
2090,**( more than 70% cases due to comorbidities )
2091,#States wise distribution is subject to further verification and reconciliation
2092,#Our figures are being reconciled with ICMR
2093,1
2094,Andaman and Nicobar Islands
2095,138
2096, 8  
2097,5410
2098, 52  
2099,66
2100, 1  
2101,2
2102,Andhra Pradesh
2103,81471
2104, 7240  
2105,931839
2106, 4421  
2107,7616
2108, 37  
2109,3
2110,Arunachal Pradesh
2111,550
2112, 97  
2113,16940
2114, 19  
2115,56
2116,  
2117,4
2118,Assam
2119,15545
2120, 1603  
2121,218958
2122, 619  
2123,1186
2124, 14  
2125,5
2126,Bihar
2127,81961
2128, 5541  
2129,306753
